"likes","comments","media_url","location","posted_date","user_id","name","handle","url","views","caption","post_type"
"390","10","https://instagram.fsac1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/106788844_100367115078800_7671866131783138819_n.jpg?_nc_ht=instagram.fsac1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=OzcFm6Q2nEkAX_lFsZ4&oh=d93b97c51fecc6d996b240b73230f706&oe=5F53DDFD","","2020-07-10 15:46:37","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCd5Q58hlTb/","","Sol solecito ☀️ qué bonito viernes nos estás dando hoy ⚡️despertar arrunchados con nuestra nueva COGUA nos hace muy felices 🙃
.
👉🏽 Entra a nuestra página KUPA.co y en la sección KUPA HOME encuentra nuestros nuevos productos para acompañarte ahora en trayectos más cortos 💛
.
#KUPAHOME #stayhome #vamosacoronarestevirus #cogua","image"
"341","10","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/116375781_609864589914898_8237414623617311352_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=-HQ6q4THN0cAX_z8RS9&oh=56fb6740c0c0d65e0bdeb595c24cd047&oe=5F552B98","","2020-07-30 22:53:33","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CDSKBZVhIsX/","","Para los más chiquitos sacamos Mini Chocó ⚡️ para que en sus aventuras al parque vayan acompañados de sus dinosaurios favoritos 🦕
.
Una colección hecha con nuestros amigos de @cuatro.paredes 🦖 
.
#kids #kidsclothes #dinosaur #choco","image"
"190","8","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/108493016_200550321397644_5922966455902626201_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=JXwZUv1zw60AX-l7aX6&oh=f5e06547d897f61196df7afeffa4d336&oe=5F52051A","","2020-07-17 00:00:46","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCuOlcvhc6w/","","🥞 Manos a la Masa 🍼 Y ahora en familia!! Nada mejor que hacer de esta época un momento para crear esa receta secreta familiar 🥧
.
Lleva tu Magangué y Mini Magangué 💛 KUPA te regala el recetario digital de nuestro Chef Yeti con los mejores sabores de Colombia ⚡️
.
#KUPAHOME #cooking #LomejordeColombia #Magangué #kids","image"
"527","6","https://instagram.fsac1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/106818436_764990627375315_6636411528897185788_n.jpg?_nc_ht=instagram.fsac1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=EK7g4ntzyM4AX8JIXaL&oh=1770bee08a2eebb25c2a8cd4b5a0d8f7&oe=5F540874","","2020-07-08 13:07:36","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCYdehahR0B/","","🥬 Pecana chismosea lo que trajo Racha en su TOTA Mareiwa de la colección Somos Origen ⚡️ Sí estás saliendo a hacer Mercado nuestra tula es la mejor opción!
.
Gracias a @mimercadillo.co por todas estas frutas y verduras súper frescas 🙌🏽 sí quieren comprar online se los recomendamos ✌🏾
.
#Noplastic #Ecofriendly #healthy","image"
"387","10","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/115909019_968431393594207_8716794854499806279_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=kWHoEBQESdoAX-AP_Lt&oh=aa780232006b6f43aeec58c2923cb8ef&oe=5F54787C","","2020-07-22 22:55:42","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CC9j6GQhu5u/","","Con pucheros hemos aprendido a cocinar en estos 4 meses desde pan en todas sus presentaciones hasta experimentando en nuestras Air Fryer y por eso KUPA en Agosto te trae nuestro Challenge 🥧 Rompe Esos Huevos 🔥 para los amantes de la cocina para dummies 🥫
.
Haremos las mejores recetas de cereal nunca antes probadas! Agosto llega con nuevas alianzas y nuevos productos para seguir coronando este virus ⚡
.
#cooking #amaliaandrade #2020 #healthyfood #junkfood #veganfood #food","image"
"352","16","https://instagram.fsac1-2.fna.fbcdn.net/v/t51.2885-15/e35/107514673_207466587215751_8281833699940874835_n.jpg?_nc_ht=instagram.fsac1-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=HvnSoa-BH9wAX9-b-C1&oh=0b48d55d09b06e18d3c6c14c7628c7a5&oe=5F53E20D","","2020-07-12 00:48:13","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CChcCmRhZ21/","","Hoy Moni estuvo de cumpleaños 🧁 Y además de felicitarla, queremos reconocerla como la GRAN lideresa que es en nuestro equipo 💛
.
Moni cree fielmente en el diálogo y en los pequeños detalles 🙌🏽 es la encargada de darle vida a nuestras tiendas y desde que el COVID llegó se ha puesto la 10 para asumir el reto de logística y hacer que todas tus KUPA lleguen a tiempo ⚡️ Además en sus tiempos libres construye los muebles de la oficina 😏 No hay nada que Moni no pueda hacer 👌🏽
.
Moni gracias por improvisar junto a KUPA, por darle un orden a nuestras tiendas de color y por hacer de ellas un espacio lindo y lleno de confianza para trabajar 💛💙 Te queremos Moni, te queremos 🙌🏽
.
#equipokupa","image"
"102","8","https://instagram.fsac1-1.fna.fbcdn.net/v/t51.2885-15/e35/106483896_344537409867048_3581531319251995483_n.jpg?_nc_ht=instagram.fsac1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=KM3iIlGxtW8AX9qVjtc&oh=18c39fdb73a97e3af718a3f9a0fb5f59&oe=5F52F88E","","2020-07-03 14:05:43","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCLsJ01h8sj/","","✌🏾 Hoy comenzamos el 2do Día Sin IVA digital ⚡️ Nuestras tiendas continúan cerradas, pero nuestra página está lista y nuestros canales de comunicación con la 10 puesta 💥 Recuerda que los NEMOCON (tapabocas) no tienen IVA por la característica del producto por eso no aparece descrito dentro de las categorías :)
.
Recuerda esta información a la hora de hacer tus compras en el DÍA SIN IVA ⚡️
- Todas las compras las debes hacer con un medio electrónico: Tarjeta de crédito, débito o transferencia bancaria 💳 NO aplica para forros de computador.
- Puedes comprar máx. 3 unidades por categoría:
1. 👕 Vestuario: Mompox, Leticia, Paipa, Suesca, Chocó, Magangué, Maicao y Guatavita.
2. 🎒 Accesorios: Cocuy, Mini Cocuy, Iguaque, Mini Iguaque, Bogotá, Nuquí, Mini Nuquí, Mini Cócora, Minca, Vaupés, Mitú, Barú, Orocué, Ráquira, Mocoa, Mini Mocoa, Macarena, Miss Balanta y Sajú.
3. 📒 Útiles Escolares: Gran Chicaque, Chicaque, Gran Cunday, Cunday, Mini Cunday, Salento Y Aracataca. ⚠️ Los forros de celular NO aplican en ninguna categoría por lo cual no hacen parte del día sin IVA.
.
#diasiniva #quedateencasa","image"
"1729","39","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/116579524_1358769304313403_6299320649423399466_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=L-ReV1KiAb4AX_dY350&oh=b2c3b371240e7d389284d9056d5c3538&oe=5F51547D","","2020-08-03 22:03:03","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CDcXbCchNmK/","","Conocen a Anita? Hoy está de cumple! Ella es la creadora desde un principio de toda esta locura que es hoy KUPA (junto con Santi). Todos los días nos entrega todo de ella para que este sueño siga en pie. La ven pequeñita pero hay que tenerle miedo cuando se pone brava para luchar por las causas que cree justas y hay que correr detrás de ella para alcanzar su cabeza creativa, sus ideas y sus sueños. Cree firmemente en un mundo diverso lleno de color y es gracias a eso que esta marca está llena de historias para contar. 

Anita, feliz cumpleaños! Gracias por crear este universo en el que hoy nos sentimos más que orgullosos de pertenecer, por día a día darlo todo porque cada vez lleguemos a más personas y que KUPA acompañe más sueños, en este caso -más que en cualquier otro- este lugar no sería lo mismo sin ella.","image"
"202","3","https://instagram.fsac1-1.fna.fbcdn.net/v/t51.2885-15/e35/108282023_3000472376688025_4542499020850810486_n.jpg?_nc_ht=instagram.fsac1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=3TCmzgLe4boAX9GZaTe&oh=b0016076a1c0f7739ffe1b48e1a5e87c&oe=5F2C170F","","2020-07-13 23:36:15","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCmcm2Shfhx/","4152","⚡ Dos dimensiones nuevas llegan a KUPA 👾 Hoy estrenamos una nueva alianza con un sabor sin Game Over 🤖 Pony Bit para quienes se arriesgan a volar por lo alto ☀️ y Pony Pix para quienes la noche no los asusta 🐺
.
🎮 Entra a nuestra página kupa.co y en la sección de Tienda encuentra todos los productos de la alianza que hicimos con @ponymaltaoficial y sus dos nuevos sabores 🤜🏽 💥 🤛🏽 #alianzaskupa #saboresdeotradimensión","video"
"400","2","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/115956370_331471941343268_1837140084491528989_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=I5pT6BgrCI0AX-0zsXQ&oh=71d9a73248bbc6f856892fce5c319700&oe=5F5526A0","","2020-07-27 23:10:39","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CDKdmDEhCRk/","","Para quienes ayer dijeron NO MÁS! Porque Cuarentena nos dejaste sin playlists para cantar de toooodo el aseo, desinfección y orden que nos has hecho pasar 🤯 Y uds? Qué cantan a grito herido mientras hacen oficio? 🎤
.
Nuestras MAICAO de @amaliaandrade_ ya están disponibles en nuestra página y son en alianza con los cracks de @whitman_co ⚡ Pasen, pasen y llévense su recuerdo favorito de esta cuarentena mientras apoyan al @bancodealimentoscali con su compra!
.
#Karaoke #Coreografía #Tiktok #AmaliaAndrade #Whitman #Bancodealimentosdecali #maicao","image"
"1444","64","https://instagram.fsac1-2.fna.fbcdn.net/v/t51.2885-15/e35/106202435_712998232829585_3189035752818356801_n.jpg?_nc_ht=instagram.fsac1-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=D46jKiatgOEAX-95zh8&oh=f3269edfc77713117f05c36a689681af&oe=5F534C52","","2020-07-01 22:58:25","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCHfhqfhZIp/","","En KUPA creemos en tendencias sociales ✊🏽 tendencias que nos mueven a abrir conversaciones para reflexionar y nuestros estampados son la mejor plataforma para compartir nuestras posturas ⚡
.
Aquí les queremos compartir los 6 estampados que hizo @luisaeloisa_ de PODEROSAS en nuestro NEMOCÓN ✌🏾 Que habla del rol de la mujer en la ciencia, el arte y los deportes 👩🏾‍🔬👩🏻‍🎨🏋🏼‍♀️ que la moda sea un espacio para reflejar lo que somos, lo que creemos y lo que nos mueve 🙌🏽
.
#PODEROSAS #Lideresas #Hablardeloquenosehabla #inspiringirls","image"
"154","0","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/116849932_2568856986759337_7153319636707882863_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=ZKIs-hhZeCsAX_eGIma&oh=c5b5dc9f1df04b5b8233da0488d7479b&oe=5F529C41","Bogotá, Colombia","2020-08-04 17:06:22","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CDeaQ3shFhL/","","En este Martes con cara de Lunes aprovechemos para jugar como niños ⚡ y disfrutar cada momento que tenemos juntos ✌🏼. Vámonos protegidos a inventar aventuras 🌈 con nuestro Chocó y Mini Chocó y acompañados de nuestros personajes favoritos.  Estampado: @amaliaandrade_  azul oscuro y unicornios @anamaria.nf","image"
"1447","10","https://instagram.fsac1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/107931194_111695040479397_3245273689297640104_n.jpg?_nc_ht=instagram.fsac1-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=0ZXC5JU5oRkAX_zTakj&oh=8b5d86b8eda9c7f3d2f01d032a5119bd&oe=5F537599","","2020-07-15 23:08:00","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CCrjwInhsgp/","","💛 Está bien, estar mal 🙌🏽 Está bien sentir ansiedad en esta cuarentena 😬Está bien molestarte porque planeaste sorpresas para el próximo día sin IVA y hoy lo cancelaron ✌🏾Está bien que vienen otros dos puentes y no vamos a viajar 🙃
.
Está bien que esté haciendo un frío espantoso 🥶 porque tienes tu COGUA para abrazarte y arrancharte mientras lees los libros de @amaliaandrade_ ⚡️
.
#Estábienestarmal #cogua #AmaliaAndrade #cosasquepiensasmientrastemuerdeslasuñas #cold","image"
"667","6","https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/e35/115990114_642384849705504_70723034408977462_n.jpg?_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=CCyreiHnbeIAX_lf8d1&oh=90f1f3c312192b468d1e0a5e46f56a39&oe=5F5314F1","","2020-07-28 17:59:03","1144115571","KUPA","kupa.co","https://www.instagram.com/p/CDMeumnBNXF/","","Quién pasa ahora sus pausas activas arrunchados con sus perros y gatos? 🙋🏽‍♀️🙋🏼‍♂️ En la cuarentena esto ha sido de lejos lo que más, más amamos!!!
.
Un nuevo color se estrena en nuestras camisetas ⚡️y qué mejor que homenajeando a esos que disfrutan tenernos en casa 💛 Recuerda que con está colección de @amaliaandrade_ estás apoyando al @bancodealimentoscali 🥬🍉🥑
.
#Pets #cats #dogs #bedtime","image"
